playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K_per_9,BB_per_9,K_BB_ratio,ERA_calc,FIP,OBA,QS_pct,H_per_9,HR_per_9,SO_per_BB,ERA_minus,FIP_minus,BF,K_pct
sabroer01,2024,1,CLE,AL,0,0,8,0,0,0,1,38,6,0,0,4,19,0.14,0,0,1,0,0,47,4,0,0,0,1,12.666666666666666,0.789,13.5,2.842,4.75,0,1.047,0.128,NA,4.263,0,4.75,0,26.7,23,82.6
salazed01,2024,2,WAS,NL,0,1,25,0,0,0,0,82,31,9,2,12,24,0.282,2.96,0,1,1,0,123,2,10,0,0,2,27.333333333333332,1.573,7.902,3.951,2,2.963,3.612,0.252,NA,10.207,0.659,2,70,92,36,66.7
salech01,2024,1,ATL,NL,18,3,29,29,0,0,0,533,141,47,9,39,225,0.216,2.38,0,4,8,1,702,0,48,2,1,9,177.66666666666666,1.013,11.398,1.976,5.769,2.381,1.884,0.201,NA,7.143,0.456,5.769,56.3,48,264,85.2
sanchcr01,2024,1,PHI,NL,11,9,31,31,2,1,0,545,182,67,11,44,153,0.258,3.32,0,7,0,1,754,0,76,3,1,18,181.66666666666663,1.244,7.58,2.18,3.477,3.319,2.929,0.241,NA,9.017,0.545,3.477,78.5,74.6,197,77.7
sanchsi01,2024,1,MIA,NL,0,3,14,7,0,0,0,107,43,24,3,14,17,0.303,6.06,0,1,3,1,162,2,29,2,1,6,35.666666666666664,1.598,4.29,3.533,1.214,6.056,4.418,0.265,NA,10.85,0.757,1.214,143.3,112.6,31,54.8
sandlni01,2024,1,CLE,AL,8,0,68,1,0,0,1,173,46,24,12,27,68,0.222,3.75,2,1,6,0,246,7,29,3,3,6,57.666666666666664,1.266,10.613,4.214,2.519,3.746,4.851,0.187,NA,7.179,1.873,2.519,88.7,123.6,95,71.6
sandopa02,2024,1,LAA,AL,2,8,16,16,0,0,0,239,85,45,8,35,81,0.272,5.08,2,6,3,2,353,0,49,1,2,11,79.66666666666667,1.506,9.151,3.954,2.314,5.084,3.69,0.241,NA,9.603,0.904,2.314,120.1,94,116,69.8
sandsco01,2024,1,MIN,AL,9,1,62,0,0,0,4,214,59,26,6,12,85,0.221,3.28,0,3,6,1,292,11,30,1,6,2,71.33333333333333,0.995,10.724,1.514,7.083,3.28,2.315,0.202,NA,7.444,0.757,7.083,77.5,59,97,87.6
santade01,2024,1,NYA,AL,2,0,23,0,0,0,2,82,27,19,2,10,19,0.262,6.26,0,1,1,2,115,7,19,1,0,4,27.333333333333332,1.354,6.256,3.293,1.9,6.256,3.759,0.235,NA,8.89,0.659,1.9,148,95.8,29,65.5
santade01,2024,2,PIT,NL,1,1,39,0,0,0,1,133,30,12,2,11,50,0.192,2.44,0,0,3,0,172,13,14,0,2,2,44.333333333333336,0.925,10.15,2.233,4.545,2.436,2.175,0.174,NA,6.09,0.406,4.545,57.7,55.4,61,82
santito01,2024,1,CIN,NL,3,3,29,1,0,0,0,90,21,10,4,9,46,0.186,3,0,1,0,0,122,2,11,0,0,1,30,1,13.8,2.7,5.111,3,2.667,0.172,NA,6.3,1.2,5.111,70.9,68,55,83.6
santogr01,2024,1,SEA,AL,0,1,8,0,0,0,0,22,7,4,0,1,6,0.241,4.91,0,0,1,1,31,1,4,0,0,1,7.333333333333333,1.091,7.364,1.227,6,4.909,1.873,0.226,NA,8.591,0,6,116.1,47.7,7,85.7
